"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"123","FBgn0032775",3131.5119121003,-0.70830493099792,0.152857696023395,2.78259900293111e-07,1.01577067988577e-05
"124","FBgn0032820",332.441304197165,0.575475798064705,0.125021976214551,4.68358173659883e-07,1.60417492978239e-05
"125","FBgn0033065",29.9474261954372,2.90333303385465,0.425737208156106,6.06918486275142e-13,5.67571074299776e-11
"126","FBgn0033079",379.010277573815,-0.607753989539559,0.136878023162613,8.5586935685256e-07,2.83800822991389e-05
"127","FBgn0033095",1489.11266835328,0.744750382618326,0.0929998383117485,1.107778200186e-16,1.70741443706446e-14
"128","FBgn0033188",1362.00120351931,-0.500351849426881,0.111322570208448,8.98098477273633e-07,2.94286363242065e-05
"129","FBgn0033367",15324.7662695322,1.39258392183352,0.218739775248688,1.26443219410818e-11,1.00227325252975e-09
"130","FBgn0033368",63.8159109282604,1.20550036937623,0.290346417960154,1.95293156560432e-06,5.98902727654831e-05
"131","FBgn0033426",352.952359113148,-0.944409349144743,0.146115952566457,6.76584349112574e-12,5.52079562516074e-10
"132","FBgn0033446",81.5473124726477,-1.01548090224561,0.252107221518919,3.21026705787527e-06,9.44136138611162e-05
"133","FBgn0033495",66.4295350401534,-1.86448638639489,0.408386079052324,2.22682716559113e-07,8.31115807139685e-06
"134","FBgn0033635",2490.06131835105,1.1242206735913,0.231310228047595,8.00686722947246e-08,3.33205779754497e-06
"135","FBgn0033724",152.832426365126,1.35966899671934,0.219340590510911,3.21283155775178e-11,2.40904477974487e-09
"136","FBgn0033764",65.204000810515,3.36080370178941,0.295819038893249,5.31237188642708e-31,2.3270984847754e-28
"137","FBgn0033775",46.8800238170876,1.84757607962243,0.293598680593838,1.78144932485584e-11,1.37287062321992e-09
"138","FBgn0033782",162.228946911747,-1.2853603123087,0.248601724496259,1.06862107125851e-08,5.08236181490548e-07
"139","FBgn0033913",5213.06530296395,-1.14314069735877,0.105892919801929,2.02763530232614e-28,7.33739505272195e-26
"140","FBgn0034010",547.24959552593,-1.4332038277911,0.141084373683791,2.85033105093565e-25,9.12434820651438e-23
"141","FBgn0034067",141.711753118672,0.949846808820544,0.200961650710579,1.4121285362122e-07,5.49212420882902e-06
"142","FBgn0034354",372.61173442524,0.882276267733222,0.194879416109287,4.18869795733096e-07,1.44825914941321e-05
"143","FBgn0034389",110.751462135446,-1.85192263114078,0.261267614924399,7.62197074541773e-14,8.34706085711997e-12
"144","FBgn0034391",65.1265053789664,1.4753335381451,0.263529220718678,1.18150478396894e-09,6.87668833354787e-08
"145","FBgn0034400",5939.59527855918,-0.512459094061226,0.102745285295807,8.0711045583788e-08,3.34207976315357e-06
"146","FBgn0034405",2290.49513443639,0.635669034305251,0.0906515856872786,2.59699242745339e-13,2.60418891249332e-11
"147","FBgn0034434",114.625559330683,-3.59966999024952,0.278424133425097,3.78963321572752e-39,2.86737429586365e-36
"148","FBgn0034438",74.5940245247824,1.83603410525892,0.251139556261232,1.66574984871152e-14,2.00928057838057e-12
"149","FBgn0034638",1664.00941883663,-0.88469918499568,0.119857661690614,1.15354755822713e-14,1.45469338289764e-12
"150","FBgn0034718",496.037113524655,1.30597312882418,0.248383355793173,8.72550588673927e-09,4.24692312838193e-07
"151","FBgn0034736",225.876362546023,-3.48498009803556,0.21594573950788,3.86369425783761e-60,4.59393247256892e-57
"152","FBgn0034751",16641.1463539108,-1.03595491766781,0.120550716252768,5.0792004277717e-19,9.83120585124276e-17
"153","FBgn0034885",160.521967260824,1.57001578167618,0.231392608988327,5.6450893497608e-13,5.33909984750672e-11
